id,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2022-08-15,18:30,Serie A,Matchweek 1,Mon,Away,W,5,2,Hellas Verona,2.4,1.1,66.0,16967.0,Giovanni Di Lorenzo,4-3-3,Michael Fabbri,Match Report,,25.0,8.0,15.2,0.0,0.0,0.0,2023,Napoli
1,2022-08-21,18:30,Serie A,Matchweek 2,Sun,Home,W,4,0,Monza,2.0,0.1,54.0,36559.0,Giovanni Di Lorenzo,4-3-3,Francesco Fourneau,Match Report,,22.0,5.0,15.3,1.0,0.0,0.0,2023,Napoli
2,2022-08-28,20:45,Serie A,Matchweek 3,Sun,Away,D,0,0,Fiorentina,1.7,0.5,52.0,32286.0,Giovanni Di Lorenzo,4-2-3-1,Livio Marinelli,Match Report,,13.0,2.0,14.7,1.0,0.0,0.0,2023,Napoli
3,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Home,D,1,1,Lecce,1.7,1.1,71.0,37573.0,Giovanni Di Lorenzo,4-2-3-1,Matteo Marcenaro,Match Report,,19.0,7.0,17.7,0.0,0.0,0.0,2023,Napoli
4,2022-09-03,20:45,Serie A,Matchweek 5,Sat,Away,W,2,1,Lazio,2.1,0.3,61.0,39000.0,Giovanni Di Lorenzo,4-2-3-1,Simone Sozza,Match Report,,19.0,7.0,16.1,0.0,0.0,0.0,2023,Napoli
6,2022-09-10,15:00,Serie A,Matchweek 6,Sat,Home,W,1,0,Spezia,2.2,0.5,63.0,32839.0,Giovanni Di Lorenzo,4-3-3,Alberto Santoro,Match Report,,28.0,6.0,17.8,0.0,0.0,0.0,2023,Napoli
8,2022-09-18,20:45,Serie A,Matchweek 7,Sun,Away,W,2,1,Milan,1.4,2.6,49.0,72573.0,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Match Report,,8.0,3.0,20.7,1.0,1.0,1.0,2023,Napoli
9,2022-10-01,15:00,Serie A,Matchweek 8,Sat,Home,W,3,1,Torino,1.6,1.0,49.0,35953.0,Giovanni Di Lorenzo,4-3-3,Luca Massimi,Match Report,,15.0,7.0,18.3,0.0,0.0,0.0,2023,Napoli
11,2022-10-09,18:00,Serie A,Matchweek 9,Sun,Away,W,4,1,Cremonese,4.1,0.8,69.0,14238.0,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Match Report,,20.0,9.0,17.8,1.0,1.0,1.0,2023,Napoli
13,2022-10-16,18:00,Serie A,Matchweek 10,Sun,Home,W,3,2,Bologna,2.6,1.3,49.0,50000.0,Giovanni Di Lorenzo,4-3-3,Francesco Cosso,Match Report,,31.0,11.0,14.3,0.0,0.0,0.0,2023,Napoli
14,2022-10-23,20:45,Serie A,Matchweek 11,Sun,Away,W,1,0,Roma,0.9,0.3,60.0,61633.0,Giovanni Di Lorenzo,4-3-3,Massimiliano Irrati,Match Report,,12.0,5.0,21.2,0.0,0.0,0.0,2023,Napoli
16,2022-10-29,15:00,Serie A,Matchweek 12,Sat,Home,W,4,0,Sassuolo,2.1,1.0,67.0,45000.0,Giovanni Di Lorenzo,4-3-3,Antonio Rapuano,Match Report,,18.0,6.0,16.2,1.0,0.0,0.0,2023,Napoli
18,2022-11-05,18:00,Serie A,Matchweek 13,Sat,Away,W,2,1,Atalanta,1.3,2.0,53.0,19363.0,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Match Report,,7.0,5.0,14.3,0.0,0.0,0.0,2023,Napoli
19,2022-11-08,18:30,Serie A,Matchweek 14,Tue,Home,W,2,0,Empoli,2.0,0.3,74.0,36000.0,Giovanni Di Lorenzo,4-3-3,Luca Pairetto,Match Report,,17.0,3.0,17.8,1.0,1.0,1.0,2023,Napoli
20,2022-11-12,15:00,Serie A,Matchweek 15,Sat,Home,W,3,2,Udinese,1.5,0.7,63.0,51000.0,Giovanni Di Lorenzo,4-3-3,Giovanni Ayroldi,Match Report,,15.0,5.0,16.1,0.0,0.0,0.0,2023,Napoli
21,2023-01-04,20:45,Serie A,Matchweek 16,Wed,Away,L,0,1,Inter,0.9,1.4,64.0,75470.0,Giovanni Di Lorenzo,4-3-3,Simone Sozza,Match Report,,9.0,2.0,13.1,0.0,0.0,0.0,2023,Napoli
22,2023-01-08,18:00,Serie A,Matchweek 17,Sun,Away,W,2,0,Sampdoria,3.2,0.6,66.0,24490.0,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Match Report,,22.0,6.0,18.4,0.0,1.0,2.0,2023,Napoli
23,2023-01-13,20:45,Serie A,Matchweek 18,Fri,Home,W,5,1,Juventus,2.1,1.3,60.0,60000.0,Giovanni Di Lorenzo,4-3-3,Daniele Doveri,Match Report,,14.0,10.0,14.4,0.0,0.0,0.0,2023,Napoli
25,2023-01-21,18:00,Serie A,Matchweek 19,Sat,Away,W,2,0,Salernitana,1.4,0.4,74.0,,Giovanni Di Lorenzo,4-3-3,Daniele Chiffi,Match Report,,9.0,4.0,14.8,1.0,0.0,0.0,2023,Napoli
26,2023-01-29,20:45,Serie A,Matchweek 20,Sun,Home,W,2,1,Roma,1.0,0.8,56.0,,Giovanni Di Lorenzo,4-3-3,Daniele Orsato,Match Report,,11.0,6.0,18.1,1.0,0.0,0.0,2023,Napoli
27,2023-02-05,12:30,Serie A,Matchweek 21,Sun,Away,W,3,0,Spezia,1.9,0.4,69.0,,Giovanni Di Lorenzo,4-3-3,Marco Di Bello,Match Report,,11.0,4.0,18.2,1.0,1.0,1.0,2023,Napoli
28,2023-02-12,20:45,Serie A,Matchweek 22,Sun,Home,W,3,0,Cremonese,1.8,0.2,66.0,,Giovanni Di Lorenzo,4-3-3,Luca Massimi,Match Report,,15.0,9.0,14.3,0.0,0.0,0.0,2023,Napoli
29,2023-02-17,20:45,Serie A,Matchweek 23,Fri,Away,W,2,0,Sassuolo,1.7,0.7,60.0,,Giovanni Di Lorenzo,4-3-3,Andrea Colombo,Match Report,,15.0,4.0,14.7,0.0,0.0,0.0,2023,Napoli
31,2023-02-25,18:00,Serie A,Matchweek 24,Sat,Away,W,2,0,Empoli,2.5,0.6,55.0,,Giovanni Di Lorenzo,4-3-3,Giovanni Ayroldi,Match Report,,19.0,6.0,19.2,1.0,0.0,0.0,2023,Napoli
32,2023-03-03,20:45,Serie A,Matchweek 25,Fri,Home,L,0,1,Lazio,0.8,0.2,64.0,,Giovanni Di Lorenzo,4-3-3,Luca Pairetto,Match Report,,14.0,2.0,22.0,1.0,0.0,0.0,2023,Napoli
33,2023-03-11,18:00,Serie A,Matchweek 26,Sat,Home,,,,Atalanta,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
35,2023-03-19,15:00,Serie A,Matchweek 27,Sun,Away,,,,Torino,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
36,2023-04-02,20:45,Serie A,Matchweek 28,Sun,Home,,,,Milan,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
37,2023-04-08,12:30,Serie A,Matchweek 29,Sat,Away,,,,Lecce,,,,,,,,Head-to-Head,,,,,,,,2023,Napoli
